Bioguide_ID,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49
A000055,0.040587831288576126,0.0037394645623862743,0.0738668367266655,0.004179902840405703,0.0041472394950687885,0.025334026664495468,0.03545035049319267,0.06539689004421234,0.0036278627812862396,0.003248224500566721,0.01501058042049408,0.0035260370932519436,0.040216416120529175,0.04796452447772026,0.039105676114559174,0.0028437466826289892,0.002523251809179783,0.010699819773435593,0.014307646080851555,0.002956325188279152,0.0028761608991771936,0.016837626695632935,0.03008122183382511,0.0030734052415937185,0.007752369623631239,0.008579046465456486,0.006930251605808735,0.014235657639801502,0.014234335161745548,0.003653829451650381,0.0030069013591855764,0.004998094402253628,0.01488677691668272,0.003055412555113435,0.025277595967054367,0.024334976449608803,0.0032841952051967382,0.00247770082205534,0.019509965553879738,0.029647739604115486,0.014528721570968628,0.00437971530482173,0.003995218779891729,0.01625494286417961,0.018965519964694977,0.004202519077807665,0.1398424357175827,0.11396326869726181,0.0033969643991440535,0.003004739759489894
A000370,0.00452632550150156,0.003923814278095961,0.008677508682012558,0.007229683920741081,0.0037831366062164307,0.010586167685687542,0.03866484761238098,0.0034633278846740723,0.04226428270339966,0.025000693276524544,0.06341896951198578,0.03182728588581085,0.010179683566093445,0.028284521773457527,0.06430687755346298,0.009388075210154057,0.004152877256274223,0.010402758605778217,0.012545134872198105,0.002716270973905921,0.03500709310173988,0.0034115626476705074,0.06235136836767197,0.016846293583512306,0.009915105998516083,0.011786870658397675,0.027640104293823242,0.004301649052649736,0.02330152504146099,0.004392442759126425,0.0032578723039478064,0.005126995965838432,0.15283016860485077,0.003831967245787382,0.038608286529779434,0.005895046051591635,0.003354580607265234,0.017123855650424957,0.0030629977118223906,0.010485492646694183,0.003780038096010685,0.011467726901173592,0.01241009309887886,0.06160801649093628,0.010674544610083103,0.0032255284022539854,0.010601289570331573,0.0032568660099059343,0.05163067579269409,0.003471676493063569
A000371,0.001617250731214881,0.0019809750374406576,0.0019667723681777716,0.03691669926047325,0.024232815951108932,0.023969411849975586,0.023723101243376732,0.0018454837845638394,0.001732733566313982,0.023022828623652458,0.017237167805433273,0.00834095012396574,0.04609774053096771,0.00249512679874897,0.050408974289894104,0.0017685689963400364,0.008151252754032612,0.0019707712344825268,0.0021051836665719748,0.0016172591131180525,0.06822754442691803,0.0017126323655247688,0.001568244188092649,0.0018575206631794572,0.023717623203992844,0.00156463123857975,0.02457023784518242,0.0024689948186278343,0.0018657972104847431,0.04655058681964874,0.0018131688702851534,0.025696340948343277,0.01190487015992403,0.03023141250014305,0.046144284307956696,0.024403102695941925,0.02981402911245823,0.0015736258355900645,0.001872438471764326,0.004990619607269764,0.001991013064980507,0.025053607299923897,0.15445949137210846,0.05447826534509659,0.0018831384368240833,0.023903844878077507,0.024352988228201866,0.05092210695147514,0.00562036968767643,0.023586386814713478
A000372,0.021896744146943092,0.007047627586871386,0.006889910902827978,0.0027996296994388103,0.0012833160581067204,0.02566656656563282,0.02510378323495388,0.015225736424326897,0.041799359023571014,0.007456788327544928,0.019221581518650055,0.00723375054076314,0.03127416968345642,0.043670374900102615,0.06324063986539841,0.0007752715027891099,0.001125730574131012,0.03148897737264633,0.007805620785802603,0.012934587895870209,0.024117562919855118,0.0132115688174963,0.03715832531452179,0.017978571355342865,0.00706065446138382,0.0016452253330498934,0.0011953600915148854,0.012434572912752628,0.031359102576971054,0.07230506092309952,0.004919608123600483,0.0025511234998703003,0.09949003159999847,0.016756895929574966,0.013039781711995602,0.013398509472608566,0.0007111274171620607,0.03795146197080612,0.023808090016245842,0.006927464623004198,0.06144265457987785,0.0009423614828847349,0.0024043796584010124,0.037504252046346664,0.0007649222388863564,0.036772485822439194,0.011435172520577908,0.027599897235631943,0.0021356227807700634,0.0070379045791924
A000374,0.0010443269275128841,0.001625804346986115,0.015144094824790955,0.0012142339255660772,0.001847331877797842,0.02862837165594101,0.011641216464340687,0.001369393547065556,0.0014561802381649613,0.0020719803869724274,0.01490965485572815,0.015461276285350323,0.015232237987220287,0.062300752848386765,0.1275547444820404,0.014581829309463501,0.0010885457741096616,0.0015095914714038372,0.05642922222614288,0.0013736900873482227,0.04226061329245567,0.015397929586470127,0.001194638549350202,0.00115076859947294,0.0014952007913962007,0.0013328244676813483,0.0029127513989806175,0.13864219188690186,0.014794738031923771,0.06992384046316147,0.0015785369323566556,0.0018652334110811353,0.0422382578253746,0.0014271028339862823,0.0013804403133690357,0.0013311586808413267,0.0013024637009948492,0.0017876633210107684,0.04693512246012688,0.016757598146796227,0.001331765204668045,0.05324040725827217,0.0018178630853071809,0.09486157447099686,0.001339729642495513,0.015128529630601406,0.014995032921433449,0.0017558238469064236,0.014969689771533012,0.018366027623414993
A000375,0.0070088873617351055,0.0020982029382139444,0.0019664030987769365,0.001785159925930202,0.002913918811827898,0.020195042714476585,0.0020349142141640186,0.0026488574221730232,0.010758290067315102,0.019382182508707047,0.02287440001964569,0.015841685235500336,0.05398164317011833,0.023979835212230682,0.092470683157444,0.014019917696714401,0.02069653756916523,0.013719309121370316,0.022595234215259552,0.007646459154784679,0.031662385910749435,0.015012959018349648,0.055273376405239105,0.0019547997508198023,0.007815918885171413,0.002011815318837762,0.00997202005237341,0.04373396560549736,0.0922069326043129,0.03638586401939392,0.005004831589758396,0.003227688604965806,0.005086776800453663,0.04932073503732681,0.0338614247739315,0.017965393140912056,0.010626192204654217,0.031320083886384964,0.008608497679233551,0.03919507935643196,0.0256647989153862,0.002256867941468954,0.0024270557332783937,0.041614431887865067,0.002073324052616954,0.04509183019399643,0.001969466684386134,0.015096032060682774,0.0024919563438743353,0.002449820516631007
A000377,0.05855032801628113,0.003138941479846835,0.01774533838033676,0.007208090275526047,0.0031182037200778723,0.049444299191236496,0.002712059300392866,0.31572917103767395,0.003496738150715828,0.01818067766726017,0.004167257342487574,0.002861189190298319,0.01751306839287281,0.0027013695798814297,0.004659147001802921,0.002920246683061123,0.015940940007567406,0.003102645045146346,0.01770925708115101,0.0026175426319241524,0.005486116744577885,0.0029592462815344334,0.0034857173450291157,0.01595410704612732,0.003406817326322198,0.0048504117876291275,0.005557653959840536,0.002536581363528967,0.0025260222610086203,0.030703336000442505,0.0071070496924221516,0.008504812605679035,0.00282830442301929,0.017815247178077698,0.017826030030846596,0.018138514831662178,0.008743613958358765,0.0022286728490144014,0.002298129489645362,0.021713653579354286,0.0034128273837268353,0.00319929257966578,0.01973607763648033,0.03239018842577934,0.12031874060630798,0.017859239131212234,0.002403164515271783,0.040499746799468994,0.01880475878715515,0.0031894634012132883
A000378,0.04033255577087402,0.0022739418782293797,0.0021997580770403147,0.003454002784565091,0.0024917148984968662,0.004018119070678949,0.0019993530586361885,0.0037326982710510492,0.0032078386284410954,0.003062991891056299,0.13718067109584808,0.002362323459237814,0.0023025968112051487,0.002240479225292802,0.0018843573052436113,0.002020356711000204,0.0036464366130530834,0.1339087188243866,0.003447738941758871,0.0018354362109676003,0.03930354490876198,0.002303606830537319,0.04533996433019638,0.05882851779460907,0.004131534602493048,0.001910249120555818,0.003402075497433543,0.0018609979888424277,0.04235687851905823,0.01984471082687378,0.002176156034693122,0.013739648275077343,0.002243572846055031,0.0019304635934531689,0.002216655993834138,0.002180025214329362,0.0027479713317006826,0.0021730714943259954,0.20524993538856506,0.03091479279100895,0.0036467029713094234,0.00227661756798625,0.002282814821228385,0.0017311152769252658,0.08242866396903992,0.002256938023492694,0.005081881303340197,0.013567093759775162,0.002108755288645625,0.0421629473567009
B000213,0.0025801160372793674,0.006387052126228809,0.053648095577955246,0.0075575439259409904,0.004133326932787895,0.0034836430568248034,0.028414424508810043,0.0037248008884489536,0.0036212392151355743,0.0028671978507190943,0.0031432092655450106,0.004574157297611237,0.010818589478731155,0.003504092339426279,0.02114911749958992,0.003689677221700549,0.05226033926010132,0.06704240292310715,0.028145143762230873,0.002735517453402281,0.06044904142618179,0.0032063003163784742,0.0030437454115599394,0.0031401515007019043,0.05380234122276306,0.003306386526674032,0.068966343998909,0.0035390034317970276,0.0031575611792504787,0.029409978538751602,0.003440727014094591,0.020998338237404823,0.0029327054508030415,0.0032435115426778793,0.00306469458155334,0.02123633585870266,0.0030855874065309763,0.027762245386838913,0.0030451002530753613,0.029012128710746765,0.029324745759367943,0.003622037824243307,0.020755235105752945,0.07444848865270615,0.0033345003612339497,0.0856250450015068,0.006765558384358883,0.012330484576523304,0.0035649295896291733,0.09690706431865692
B000490,0.007819867692887783,0.01665017567574978,0.006975498516112566,0.004517022520303726,0.006183243822306395,0.01696816273033619,0.012524944730103016,0.004571830853819847,0.02917797490954399,0.004840906243771315,0.00432881573215127,0.005046532955020666,0.00478778313845396,0.005898525472730398,0.090365469455719,0.004419921897351742,0.003989288583397865,0.012593954801559448,0.06332501769065857,0.004341914784163237,0.0042983489111065865,0.016778498888015747,0.053247056901454926,0.012814550660550594,0.01930498704314232,0.004471720661967993,0.02182481810450554,0.014061086811125278,0.010114097036421299,0.0057625724002718925,0.009244260378181934,0.005116522777825594,0.022510064765810966,0.00734951626509428,0.025665612891316414,0.015012221410870552,0.02995724231004715,0.01485157385468483,0.0951566994190216,0.01567189395427704,0.005486594513058662,0.05289394408464432,0.005120845511555672,0.030892105773091316,0.004930862691253424,0.011795596219599247,0.11213364452123642,0.010713918134570122,0.03874746710062027,0.014744818210601807
