congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1000,2018-06-26,2,293,392,2,0.0,0.0,0.0,0.0,0.0,HR4294,Passed,Prevention of Private Information Dissemination Act of 2017,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1001,2018-06-26,2,294,288,116,-0.396,0.9179999999999999,-0.237,-0.11599999999999999,-116.98700000000001,HR2083,Passed,Endangered Salmon and Fisheries Predation Prevention Act,On Passage,
115,House,1002,2018-06-26,2,295,400,2,0.0,0.0,0.0,0.0,0.0,HR5841,Passed,Foreign Investment Risk Review Modernization Act,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1003,2018-06-27,2,296,190,230,-0.128,0.992,0.615,0.599,-6.952999999999999,HR6136,Failed,Border Security and Immigration Reform Act of 2018,On Motion to Recommit with Instructions,
115,House,1004,2018-06-27,2,297,121,301,-0.268,0.9640000000000001,-0.726,-3.2030000000000003,-181.072,HR6136,Failed,Border Security and Immigration Reform Act of 2018,On Passage,
115,House,1005,2018-06-27,2,298,231,188,0.03,0.047,-0.715,0.1,-0.27699999999999997,HRES964,Passed,"Providing for further consideration of the bill (H.R. 6157) making appropriations for the Department of Defense for the fiscal year ending September 30, 2019, and for other purposes, and providing for proceedings during the period from June 29, 2018, through July 9, 2018",On Ordering the Previous Question,
115,House,1006,2018-06-27,2,299,230,185,-0.225,0.9740000000000001,-0.402,-0.42700000000000005,-22.166,HRES964,Passed,"Providing for further consideration of the bill (H.R. 6157) making appropriations for the Department of Defense for the fiscal year ending September 30, 2019, and for other purposes, and providing for proceedings during the period from June 29, 2018, through July 9, 2018",On Agreeing to the Resolution,
115,House,1007,2018-06-27,2,300,188,231,0.028999999999999998,0.048,0.715,-0.10800000000000001,-0.275,HR5515,Failed,National Defense Authorization Act FY 2019,On Motion to Instruct Conferees,
115,House,1008,2018-06-27,2,301,403,15,0.141,-0.715,-0.066,-1.7109999999999999,-35.385999999999996,HR5515,Passed,National Defense Authorization Act FY 2019,On Closing Portions of the Conference,
115,House,1009,2018-06-27,2,302,188,228,-0.728,-0.309,0.040999999999999995,-0.35100000000000003,-277.48,HR6157,Failed,,On Agreeing to the Amendment,
115,House,1010,2018-06-27,2,303,175,241,0.21,-0.049,-0.111,0.39899999999999997,-178.185,HR6157,Failed,,On Agreeing to the Amendment,
