Bioguide_ID,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49
M001137,0.03538752719759941,0.015850737690925598,0.009918751195073128,0.07145685702562332,0.021809343248605728,0.020550554618239403,0.015108696185052395,0.010143540799617767,0.009240696206688881,0.011834307573735714,0.023759692907333374,0.015871955081820488,0.025873221457004547,0.016741560772061348,0.007942396216094494,0.013894714415073395,0.025632277131080627,0.014337909407913685,0.015828948467969894,0.012880722060799599,0.011728658340871334,0.018966391682624817,0.011095154099166393,0.019517265260219574,0.018104329705238342,0.020056191831827164,0.022062519565224648,0.021614545956254005,0.03048732504248619,0.08591585606336594,0.010722985491156578,0.009583719074726105,0.009868812747299671,0.02480906806886196,0.051865000277757645,0.012400971725583076,0.01905141770839691,0.007846138440072536,0.01764988712966442,0.025498921051621437,0.011937933973968029,0.020273108035326004,0.01588050276041031,0.010348333045840263,0.008473994210362434,0.039603572338819504,0.008709377609193325,0.007841452024877071,0.011845417320728302,0.022176403552293777
M001143,0.025169147178530693,0.020466411486268044,0.018777528777718544,0.006963532883673906,0.0215937327593565,0.018564283847808838,0.023404691368341446,0.017259983345866203,0.025781676173210144,0.023388516157865524,0.019257856532931328,0.013269731774926186,0.014879641123116016,0.02769988588988781,0.016755882650613785,0.007240402977913618,0.025186389684677124,0.020672695711255074,0.014306195080280304,0.011912575922906399,0.00669514574110508,0.03842949867248535,0.010057322680950165,0.015229277312755585,0.0095982626080513,0.02201244980096817,0.02381429821252823,0.016847478225827217,0.028658531606197357,0.0326438844203949,0.01242972631007433,0.013468632474541664,0.08033932000398636,0.023824574425816536,0.027550678700208664,0.018263207748532295,0.012040168978273869,0.014094937592744827,0.015205023810267448,0.03532340005040169,0.018821178004145622,0.016135340556502342,0.007321632467210293,0.00940567348152399,0.018552005290985107,0.04220921918749809,0.013801030814647675,0.008309357799589634,0.0160228181630373,0.020344670861959457
M001156,0.02988414466381073,0.019833680242300034,0.02825027145445347,0.02246127277612686,0.024325881153345108,0.01855640858411789,0.014839479699730873,0.023418519645929337,0.01840290240943432,0.016846125945448875,0.009421166963875294,0.020880404859781265,0.024059200659394264,0.012861283496022224,0.016854409128427505,0.03829192370176315,0.032244972884655,0.030805565416812897,0.025180190801620483,0.041597988456487656,0.012703565880656242,0.01522973831743002,0.013905840925872326,0.011989227496087551,0.023809002712368965,0.02111884206533432,0.008975234813988209,0.011377707123756409,0.021330716088414192,0.025191623717546463,0.014163489453494549,0.01251441240310669,0.013231083750724792,0.04540000855922699,0.025977475568652153,0.012549441307783127,0.013673861511051655,0.012410364113748074,0.01867465302348137,0.01994485594332218,0.023516742512583733,0.013001959770917892,0.006881552282720804,0.022144759073853493,0.012195398099720478,0.007527647539973259,0.0071155009791255,0.02609744481742382,0.017560461536049843,0.04077151045203209
M001157,0.009232104755938053,0.015196273103356361,0.008249002508819103,0.059004031121730804,0.023937860503792763,0.02729051746428013,0.013143287971615791,0.016259273514151573,0.010091322474181652,0.010860875248908997,0.008783680386841297,0.013166352175176144,0.01768411509692669,0.009035403840243816,0.016012253239750862,0.02019968070089817,0.012922307476401329,0.031730227172374725,0.016924375668168068,0.02800101228058338,0.0093799764290452,0.012741095386445522,0.007948718033730984,0.011463304981589317,0.02719946764409542,0.01171326544135809,0.01397168729454279,0.007399414200335741,0.009779674001038074,0.022351520135998726,0.020410608500242233,0.010596002452075481,0.009273387491703033,0.040692951530218124,0.13530369102954865,0.04890340194106102,0.020680930465459824,0.008854127489030361,0.006809193175286055,0.014655590988695621,0.036032360047101974,0.015336338430643082,0.007310026790946722,0.017713675275444984,0.02640102431178093,0.0060713100247085094,0.00781274400651455,0.017356449738144875,0.020113112404942513,0.028000785037875175
M001158,0.019701756536960602,0.023742835968732834,0.013117731548845768,0.006798037327826023,0.024176031351089478,0.01208377256989479,0.0081345085054636,0.01255740039050579,0.010634180158376694,0.058746203780174255,0.014147816225886345,0.0248994380235672,0.013975621201097965,0.00872873142361641,0.01766083762049675,0.054220668971538544,0.01725609041750431,0.02231842465698719,0.011343780905008316,0.04091760888695717,0.018123161047697067,0.0346025787293911,0.014335869811475277,0.012976531870663166,0.056281305849552155,0.011737745255231857,0.007836146280169487,0.0067064156755805016,0.0436486192047596,0.02892216295003891,0.014532488770782948,0.006530864164233208,0.01975720003247261,0.02452138438820839,0.016674505546689034,0.013466538861393929,0.019784556701779366,0.01482909545302391,0.01238477323204279,0.027378084138035774,0.02068679966032505,0.019779415801167488,0.007878029718995094,0.011135479435324669,0.011684303171932697,0.01587102748453617,0.007959773764014244,0.046164367347955704,0.011630507186055183,0.027018850669264793
M001159,0.017752444371581078,0.01064969040453434,0.010527561418712139,0.023324603214859962,0.03211714327335358,0.014701372012495995,0.03037189692258835,0.024907365441322327,0.009562691673636436,0.01270713098347187,0.009282343089580536,0.012104238383471966,0.044427938759326935,0.03625841811299324,0.01783842034637928,0.02123882994055748,0.012096687220036983,0.027217136695981026,0.017030984163284302,0.026842202991247177,0.011776095256209373,0.024866780266165733,0.010742093436419964,0.019004834815859795,0.07687252759933472,0.009749796241521835,0.011254136450588703,0.009928800165653229,0.021354475989937782,0.011612511239945889,0.011839589104056358,0.01669955812394619,0.02457357943058014,0.019329238682985306,0.01819784939289093,0.008636428974568844,0.01473341416567564,0.012002622708678246,0.00974672194570303,0.019667813554406166,0.018235448747873306,0.009441778063774109,0.012255118228495121,0.009182393550872803,0.013117707334458828,0.012950022704899311,0.01370335090905428,0.1026655063033104,0.020205073058605194,0.014695444144308567
M001160,0.01834067702293396,0.014585498720407486,0.013452725484967232,0.021999727934598923,0.02488595061004162,0.014986107125878334,0.016950422897934914,0.016128264367580414,0.009056981652975082,0.017434455454349518,0.028428224846720695,0.02232063002884388,0.03667532652616501,0.03347961604595184,0.009105321019887924,0.01955583319067955,0.014125418849289417,0.029194245114922523,0.019228961318731308,0.016725391149520874,0.011823978275060654,0.03644075244665146,0.021109674125909805,0.017183523625135422,0.01996023766696453,0.021380674093961716,0.03395849093794823,0.024760082364082336,0.04230673983693123,0.03260550647974014,0.0121160838752985,0.012043694965541363,0.01697865128517151,0.029413197189569473,0.019911110401153564,0.008561928756535053,0.019161827862262726,0.018308516591787338,0.011212809942662716,0.026029551401734352,0.018929284065961838,0.01618678867816925,0.015308395959436893,0.008389163762331009,0.01786411553621292,0.02069578319787979,0.02901161089539528,0.012899341993033886,0.01483154483139515,0.01395697146654129
M001163,0.010145747102797031,0.020638655871152878,0.01788279227912426,0.011060967110097408,0.012869640253484249,0.015201271511614323,0.016962537541985512,0.028576379641890526,0.009494333527982235,0.03177112340927124,0.02218681201338768,0.012635591439902782,0.028265640139579773,0.02599317394196987,0.010510478168725967,0.014558635652065277,0.030281975865364075,0.012186616659164429,0.020427508279681206,0.021757323294878006,0.009430579841136932,0.07737763971090317,0.011324682272970676,0.030219802632927895,0.015949612483382225,0.023859689012169838,0.017860330641269684,0.022120771929621696,0.05009008198976517,0.012234920635819435,0.005953388754278421,0.013543257489800453,0.04680221155285835,0.020623372867703438,0.013657939620316029,0.008894292637705803,0.020046740770339966,0.013440970331430435,0.017026230692863464,0.01117648184299469,0.012174340896308422,0.018368571996688843,0.01592949964106083,0.021564090624451637,0.01795080676674843,0.015903690829873085,0.04316386952996254,0.010463484562933445,0.01281693298369646,0.016624346375465393
M001165,0.015352117829024792,0.009310206398367882,0.009624158963561058,0.01498362235724926,0.017489317804574966,0.028669388964772224,0.015872428193688393,0.017487607896327972,0.008297317661345005,0.013964030891656876,0.01265587005764246,0.014518984593451023,0.033070869743824005,0.01649428904056549,0.021818766370415688,0.017989162355661392,0.008529923856258392,0.024607833474874496,0.01618129201233387,0.035259637981653214,0.010292582213878632,0.028785694390535355,0.009809108451008797,0.019019635394215584,0.05041372403502464,0.00832517072558403,0.009411380626261234,0.007056237664073706,0.025250881910324097,0.06110088899731636,0.015276824124157429,0.01751849055290222,0.027144374325871468,0.023913009092211723,0.0626361221075058,0.017728548496961594,0.011622637510299683,0.00925757922232151,0.007686037570238113,0.05080203711986542,0.03102763555943966,0.01663857139647007,0.007739038206636906,0.008776417933404446,0.01342671550810337,0.009039146825671196,0.014029284939169884,0.03513301536440849,0.014835761860013008,0.02412623167037964
M001166,0.010130234062671661,0.019586363807320595,0.03933709114789963,0.006766930688172579,0.027761146426200867,0.01262585911899805,0.016784990206360817,0.02632882632315159,0.03556676581501961,0.013151009567081928,0.01084134541451931,0.006893455050885677,0.019402025267481804,0.02328687533736229,0.03146548196673393,0.034748759120702744,0.03724146634340286,0.024146171286702156,0.017406074330210686,0.023888489231467247,0.01200347114354372,0.026280289515852928,0.007707003969699144,0.02977556549012661,0.006022301502525806,0.03562307357788086,0.012877843342721462,0.029662348330020905,0.01958044432103634,0.015578719787299633,0.016436142846941948,0.012133887968957424,0.06471243500709534,0.02030806615948677,0.0153114078566432,0.009906858205795288,0.029206205159425735,0.020684650167822838,0.024310722947120667,0.012766006402671337,0.01226845197379589,0.018150148913264275,0.005676610860973597,0.013053422793745995,0.017024142667651176,0.010111617855727673,0.02123396471142769,0.01040615513920784,0.016168704256415367,0.01765989512205124
